Fecha;Referencia;Descripción;Importe;Saldo;;
31/1/2025;850;COM.EM.EDO.CTA          ;-0,5;994.698,78;;
31/1/2025;849;COM.MTTO.CTA.           ;-0,5;994.699,28;;
30/1/2025;848;COMS.VNT.TIT.CO         ;-94,5;994.699,78;;
30/1/2025;847;VENT.TIT.COBERT         ;-189.000,00;994.794,28;;
30/1/2025;846;INTE.TIT.COBERT         ;24.661,50;1.183.794,28;;
30/1/2025;845;VENC.TIT.COBERT         ;401.000,00;1.159.132,78;;
29/1/2025;844;COMS.VNT.TIT.CO         ;-26,5;758.132,78;;
29/1/2025;843;VENT.TIT.COBERT         ;-53.000,00;758.159,28;;
29/1/2025;842;INTE.TIT.COBERT         ;16.451,10;811.159,28;;
29/1/2025;841;VENC.TIT.COBERT         ;243.000,00;794.708,18;;
28/1/2025;840;COMS.VNT.TIT.CO         ;-140;551.708,18;;
28/1/2025;839;VENT.TIT.COBERT         ;-280.000,00;551.848,18;;
28/1/2025;838;COMIS. TRF OB           ;-14.400,00;831.848,18;;
28/1/2025;837;CARGO TRANSFER          ;-4.800.000,00;846.248,18;;
28/1/2025;836;COMIS. TRF OB           ;-3.060,20;5.646.248,18;;
28/1/2025;835;CARGO TRANSFER          ;-1.020.068,40;5.649.308,38;;
28/1/2025;834;COMIS. TRF OB           ;-5.833,83;6.669.376,78;;
28/1/2025;833;CARGO TRANSFER          ;-1.944.612,00;6.675.210,61;;
28/1/2025;832;INTE.TIT.COBERT         ;28.228,20;8.619.822,61;;
28/1/2025;831;VENC.TIT.COBERT         ;462.000,00;8.591.594,41;;
27/1/2025;830;COMS.VNT.TIT.CO         ;-10,5;8.129.594,41;;
27/1/2025;829;VENT.TIT.COBERT         ;-21.000,00;8.129.604,91;;
27/1/2025;828;OPER.MER.COMPR          ;-283.261,00;8.150.604,91;;
27/1/2025;827;OPER.MER.COMPR          ;-1.416,31;8.433.865,91;;
27/1/2025;826;COMI.OPER.MERC          ;-283,26;8.435.282,22;;
27/1/2025;825;OPER.MER.COMPR          ;-56.652,20;8.435.565,48;;
27/1/2025;824;ABO SIE-P.PR.           ;7.931.308,01;8.492.217,68;;
24/1/2025;823;COMS.VNT.TIT.CO         ;-30,5;560.909,67;;
24/1/2025;822;VENT.TIT.COBERT         ;-61.000,00;560.940,17;;
24/1/2025;821;INTE.TIT.COBERT         ;11.808,80;621.940,17;;
